Team,Elo Rating
Philly Roller Derby / Philly B,694
Steel City Roller Derby / Steel Hurtin,701
Black Rose Rollers,635
Downriver Roller Derby,685
Kansas City Roller Warriors / Kansas City Roller Warriors All Stars,686
Blue Ridge Roller Derby / Y'allStars,662
Schuylkill County Scream Queens,679
Gold Coast Derby Grrls,675
Brisbane City Rollers / Red Kennedys,702
Susquehanna Valley Derby Vixens / Vixens,697
Prairieland Punishers,683
Windy City Rollers  / All-Stars,722
Little City Roller Derby,700
Royal City Roller Derby / The Bruteleggers,699
Royal City Roller Derby,688
Charlotte Roller Derby / Team Charlotte,693
Western Australia Roller Derby / Wards Of The Skate,709
WA Roller Derby / Wards Of The Skate,709
Windy City Rollers  / Second Wind ,740
Sacramento Roller Derby A / MaulStars,685
San Fernando Valley Roller Derby / Like OMGs,697
Bay State Brawlers Roller Derby / Bay State Brawlers,684
Chattanooga Roller Derby / Chattanooga All-Stars,725
Texas Rollergirls / Chainsaws,720
Texas Rollergirls / Texecutioners,703
Sacramento Roller Derby B / Bruin Trouble ,677
Vette City Roller Derby / Vette City Venom,688
Angel City Derby / Shore Shots,695
Faultline Roller Derby / Derby Devilz,684
Montreal Roller Derby / Les Sexpos,695
Boston Roller Derby / Boston Roller Derby: B Team,697
Sacramento Roller Derby  / MaulStars,670
Adelaide Roller derby / Ads,670
R.O.C.K Roller Derby,716
Kansas City Roller Warriors,680
DOMINION DERBY GIRLS / DOMINION DERBY GIRLS ALL STARS,698
Dirty Jersey  / A Team,679
Rocket City Roller Derby / Rocket City,689
Blue Ridge Roller Derby,680
Roughneck Roller Derby / Tulsa Elite,651
Bux-Mont Roller Derby / Buxmont Roller Derby,691
Madison Roller Derby,682
Confluence Crush Roller Derby / Confluence Crush Charter,715
North Star Roller Derby,712
El Paso Roller Derby / Tex Pistols,719
Orlando Roller Derby / Ozone Slayers ,706
Connecticut Roller Derby / Connecticut All Stars,711
Windy City Rollers / Third Coast,669
Black-N-Bluegrass Roller Derby / Blackouts,704
Charlotte Roller Derby A,709
Atlanta / All Stars,683
Madison Roller Derby / Madison Roller Derby: The Herd,694
Dutchland Roller Derby / All-Stars,706
Roller Derby of Central Kentucky,722
Natural State Roller Derby,663
Dirty Jersey Roller Derby / Dirty Jersey All-Stars,703
Toronto Roller Derby / Toronto Roller Derby All Stars,698
Bay State Roller Derby / Bay State All-Stars,680
Confluence Crush Roller Derby,714
Akron Roller Derby,701
Burning River Roller Derby / HazMat Crew,686
Yellow Rose Roller Derby,698
Savannah Derby Devils,684
Elevated Roller Derby / Elevated Roller Derby All Stars,662
Leeds Roller Derby / A Team,657
New Hampshire Roller Derby / All-Stars,687
Diamond State Roller Derby,679
Akron Roller Derby / Akron All-Stars,689
Cincinnati Rollergirls / Black Sheep,670
Treasure Valley Roller Derby / All Star,690
EERIE ROLLER DERBY,682
Cornfed Roller Derby / Cornfed Roller Derby All-Stars,700
Jacksonville Roller Derby / New Jax City Rollers,712
MUSCOGEE ROLLER GIRLS,706
Free State Roller Derby / Black-Eyed Suzies,678
Detroit Roller Derby / Allstars B,717
Bay Area Roller Derby,701
London Rockin' Rollers Allstars / London Rockin' Rollers,678
London Rockin' Rollers,674
Minnesota Roller Derby / Minnesota Roller Derby: MNRD B,746
Soul City Sirens,696
Oslo Roller Derby,690
Atlanta Roller Derby / Atlanta Rumble Bees,713
WILKES BARRE SCRANTON ROLLER DERBY A,720
Roller Derby Madrid,660
Detroit Roller Derby / Detroit Roller Derby Allstars A,697
Fox Cities Roller Derby,654
